ITEM_CODE,STAGE,PROCESS,QTY,TONNAGE,DATE,AGING
ARE330,WIP_DM,110,1.0,0.0431,2025-07-24 02:16:02.776987,45.95365987268451
ARE330,WIP_DM,110,1.0,0.0431,2025-07-24 02:16:02.776987,46.84974243055331
ARE330,WIP_DM,110,1.0,0.0431,2025-07-24 02:16:02.776987,47.12701385416585
ARE330,WIP_DM,110,1.0,0.0431,2025-07-24 02:16:02.776987,47.82827640046162
CGP007,WIP_DM,110,1.0,0.065,2025-07-24 02:16:02.776987,47.28121385416307
ARE396,WIP_DM,100,1.0,0.10923,2025-07-24 02:16:02.776987,44.389565300924
ARE330,WIP_DM,110,1.0,0.0431,2025-07-24 02:16:02.776987,46.25266008101607
NAM002,WIP_DM,100,1.0,0.044,2025-07-24 02:16:02.776987,61.78001391203725
NAM002,WIP_DM,110,1.0,0.044,2025-07-24 02:16:02.776987,44.51636043981125
NAM002,WIP_DM,110,1.0,0.044,2025-07-24 02:16:02.776987,63.39438324073853
NAM002,WIP_DM,100,1.0,0.044,2025-07-24 02:16:02.776987,61.5372539236123
NAM002,WIP_DM,100,1.0,0.044,2025-07-24 02:16:02.776987,43.90326837963221
ABB477,WIP_DM,100,1.0,0.0852,2025-07-24 02:16:02.776987,36.85732931712846
ABB477,WIP_DM,110,1.0,0.0852,2025-07-24 02:16:02.776987,40.03341079861275
ARE396,WIP_DM,100,1.0,0.10923,2025-07-24 02:16:02.776987,45.12140084490966
NAM001,WIP_DM,110,1.0,0.041,2025-07-24 02:16:02.776987,72.84501589120191
CGP007,WIP_DM,110,1.0,0.065,2025-07-24 02:16:02.776987,57.77630976851652
CGP007,WIP_DM,110,1.0,0.065,2025-07-24 02:16:02.776987,118.2338398148131
CGP007,WIP_DM,110,1.0,0.065,2025-07-24 02:16:02.776987,55.32204917824129
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,41.13568298611062
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,39.50663137731317
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,41.13615027777996
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,47.84543197916355
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,39.50605472222378
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,47.8448437962943
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,39.50709598379763
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,39.51893362268311
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,39.50758229166968
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,39.51951038194238
CGP002,WIP_DM,100,1.0,0.04020000000000001,2025-07-24 02:16:02.776987,80.92040238426125
CGP002,WIP_DM,100,1.0,0.04020000000000001,2025-07-24 02:16:02.776987,79.58778944444202
CGP007,WIP_DM,110,1.0,0.065,2025-07-24 02:16:02.776987,57.13261958333169
CGP007,WIP_DM,110,1.0,0.065,2025-07-24 02:16:02.776987,64.2280279861152
HYO012,WIP_DM,110,1.0,0.0719,2025-07-24 02:16:02.776987,41.07974888889294
HYO012,WIP_DM,110,1.0,0.0719,2025-07-24 02:16:02.776987,41.08022487268317
CGP007,WIP_DM,110,1.0,0.065,2025-07-24 02:16:02.776987,58.16956087962899
